image,original_quality,enhanced_quality,improvement,enhanced_status,final_source,enhanced_image
IDRiD_130.jpg,48.19,70.62,22.43,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_130.jpg
IDRiD_044.jpg,64.2,82.55,18.35,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_044.jpg
IDRiD_093.jpg,64.75,80.51,15.76,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_093.jpg
IDRiD_086.jpg,45.02,67.47,22.45,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_086.jpg
IDRiD_051.jpg,55.88,79.54,23.67,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_051.jpg
IDRiD_133.jpg,59.84,85.06,25.21,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_133.jpg
IDRiD_090.jpg,45.45,71.74,26.29,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_090.jpg
IDRiD_084.jpg,55.06,74.1,19.04,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_084.jpg
IDRiD_085.jpg,46.19,65.76,19.58,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_085.jpg
IDRiD_046.jpg,64.62,81.82,17.21,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_046.jpg
IDRiD_132.jpg,61.62,86.81,25.18,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_132.jpg
IDRiD_122.jpg,50.55,67.41,16.87,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_122.jpg
IDRiD_320.jpg,49.93,80.2,30.27,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_320.jpg
IDRiD_042.jpg,54.4,83.54,29.14,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_042.jpg
IDRiD_094.jpg,58.44,77.9,19.46,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_094.jpg
IDRiD_043.jpg,58.67,76.35,17.69,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_043.jpg
IDRiD_321.jpg,49.68,74.33,24.65,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_321.jpg
IDRiD_109.jpg,55.16,71.69,16.53,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_109.jpg
IDRiD_337.jpg,57.83,75.87,18.05,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_337.jpg
IDRiD_041.jpg,51.19,81.8,30.6,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_041.jpg
IDRiD_083.jpg,58.66,79.22,20.56,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_083.jpg
IDRiD_322.jpg,51.1,76.06,24.96,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_322.jpg
IDRiD_336.jpg,47.02,67.44,20.42,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_336.jpg
IDRiD_184.jpg,56.87,72.11,15.24,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_184.jpg
IDRiD_378.jpg,59.44,75.95,16.51,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_378.jpg
IDRiD_152.jpg,47.39,67.35,19.96,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_152.jpg
IDRiD_150.jpg,51.92,69.45,17.53,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_150.jpg
IDRiD_187.jpg,62.88,79.62,16.74,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_187.jpg
IDRiD_346.jpg,56.6,71.66,15.07,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_346.jpg
IDRiD_025.jpg,45.91,66.73,20.82,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_025.jpg
IDRiD_031.jpg,57.32,84.95,27.64,GOOD,ENHANCED,/Users/ruchakadam/Documents/diabetic-retinopathy-ai/outputs/quality/enhanced/IDRiD_031.jpg
